,name,description,category
395,US election 2020: Where does Mike Bloomberg stand on Middle East issues?,"Democratic candidates have been campaigning for more than a year to convince the party's supporters that they are best-suited to beat Donald Trump in November's election. Seven presidential debates and two primaries later, a candidate who has been on the peripheries of the process is now breaking out as a top-tier contender. Former New York ...",Politics
123,Revolving doors: Goodwin appoints BCLP real estate partner as Mayer Brown hires White & Case City projects pair,"American players dominated City recruitment last week as Goodwin Procter appointed a real estate partner, Mayer Brown made two hires to its banking & finance practice and Locke Lord recruited to its energy practice. Goodwin has appointed real estate investment funds partner Justin Cornelius in London. He joined from Bryan Cave Leighton ...",Business
671,Police implement stop and search powers after disturbance in Loughton,"Or click here to subscribe to our weekly digital edition. Your details will be stored to support your experience in line with our privacy policy. Police will be carrying out extra patrols and using additional stop and search powers in a number of roads in Loughton following a disturbance there this evening, Monday February 17. Officers have ...",UK
81,TSB cuts current account interest rate for SECOND time in a year to 1.5%,"TSB customers will see the interest rate paid on current accounts slashed for the second time in a year, to just 1.5 per cent. From May 2, the rate on TSB's Classic Plus Current Account will drop from 3 per cent AER to 1.5 per cent AER for all new and existing customers. With a 1.5 per cent AER, TSB customers will earn £22.50 a year in ...",Business
583,"Hourihane future, leaky defence, McGinn update - your key Aston Villa questions answered","If only Bjorn Engels took the no-nonsense approach and booted that ball back up towards the Holte End on Sunday afternoon. Sunday will remain a day of ifs, buts and maybes but, in the end, Tottenham punished Dean Smith's side in ruthless fashion. Aston Villa were condemned to defeat number 15 by Spurs, with only bottom club Norwich losing more ...",Sports
187,Bake Off judge Prue Leith reflects on turning 80,"The Great British Bake Off judge Prue Leith had admitted to a “slight feeling of panic” at turning 80. The broadcaster and restaurateur marks the milestone on Tuesday and will celebrate with a cake made by chefs at her self-titled culinary institute. However, Leith, who joined Bake Off in 2017 after replacing Mary Berry, admits to having ...",Entertainment
625,Ex-policeman flytips carload of rubbish on someone's driveway in broad daylight,"Paul Earwaker, who runs a prestige car hire company and says he worked for Kent Police for ten years, dumped waste on a driveway - while the owner was in their house An ex-police officer brazenly dumped an entire car of rubbish on someone's front driveway while the owner was in the property. Paul Earwaker had parked up and removed the ...",UK
92,Review into failed £500m Job Support Wales scheme,A review has been launched into how a £500m job support scheme failed to get off the ground for a second time. Job Support Wales (JSW) was intended to help people into employment by giving them individually-tailored support and was meant to begin in April. It would have replaced previous schemes including ReAct and Jobs Growth Wales.,Business
277,Rapid HIV tests introduced to help tackle outbreak,"New HIV tests that provide results in minutes have been introduced in Glasgow to help tackle the worst outbreak of the infection in decades. Addiction workers are offering the new finger prick blood tests at needle exchanges in the city as part of work to tackle the spread of the virus among drug users who share needles. Previously, test ...",Health
461,Fortnite Season 2 teaser appears around the world - and it contains a secret message,"It’s set to launch on February 20, and now a teaser for Fortnite Season 2 has appeared around the world. The teaser ads were spotted in various locations this week, including Brazil, Japan and France. The short teaser features a gold handprint on top of the Fortnite logo, and gold bars covering up the text at the bottom. However, eagle-eyed ...",ScienceAndTechnology
179,Best movies to watch on Amazon Prime Video,"From cinema classics to brilliant modern comedies and dramas, here’s our (regularly updated) pick of the best movies to watch on Amazon Prime Video UK… This comedy-drama from writer-director Martin McDonagh (Three Billboards Outside Ebbing, Missouri) follows a struggling screenwriter attempting to pen the next big hit. He gets mixed up in ...",Entertainment
370,Health minister resigns after government reshuffle,"Baroness Blackwood steps down as health minister for innovation Announces it is time “to pursue new ventures” DHSC says replacement will be announced “in due course” Baroness Blackwood has stepped down from her role as health minister and the government’s health lead in the Lords. Baroness Blackwood, whose portfolio included ...",Politics
415,The fight for women’s freedom 50 years ago,"There was a “real buzz of excitement” in London 50 years ago this month, when the first national Women's Liberation conference was held in Ruskin college, Oxford. That is how Mary Kennedy, who was involved with the Women’s Liberation Movement (WLM) at the time, later remembered the event. “Here came the turning point, and we were all ...",Politics
514,Pablo Mari suffers defeat to Chelsea in first appearance in Arsenal colours,Arsenal's new January signing Pablo Mari donned a Gunners shirt for the first time as they suffered an Under-23s defeat to Chelsea in the Premier League 2,Sports
196,New music festival heading to Essex with headline act Tom Jones,"The current judge on ITV's The Voice will headline the main stage at the Hideaway Festival next to Hylands Park, Chelmsford, the former venue for V Festival and RiZe, due to take place from Friday August 14 to Sunday August 16. Grace Jones, singer, songwriter and Jamaican/American model, best known for her hit song Slave of the Rhythm, will ...",Entertainment
